Saint Kitts and Nevis	Сент-Китс и Невис
Saint Pierre and Miquelon	Сен-Пьер и Микелон
Bonaire, Sint Eustatius, and Saba	Бонэйр, Синт-Эстатиус и Саба
My SafeSearch setting keeps turning off	Безопасный поиск постоянно отключается
If you allow cookies, SafeSearch should stay on.	Безопасный поиск работает, если сохраняются файлы cookie.
Block explicit results on Google using SafeSearch	Как скрыть неприемлемый контент в результатах Google Поиска
Find widgets on Google Play	Скачать виджеты из Google Play
Notices about Filtered Results	Пояснения к фильтрации результатов
A label showing the percentage change in price.	Ярлык, показывающий изменение цены в процентах.
This reminder has been deleted. Please refresh the browser to view the updated list.	Напоминание удалено. Обновите страницу, чтобы посмотреть актуальный список.
From your Gmail reservation	Из бронирования в Gmail
You can delete all of this data or change this setting.	Вы можете удалить все сохраненные данные, а также настроить саму функцию.
Select one from the following list of service providers	Выберите поставщика услуг из списка ниже
Google Search Page Header	Заголовок страницы Google Поиска
Search for a company or symbol	Поиск компании или символа
Keep track of your watchlist and watch how it performs	Следите за своим списком и управляйте им.
Unable to share collection	Не удалось поделиться коллекцией
Stories must be a least four pages	В новости должно быть не менее четырех страниц.
Final · See stats, news, and more	Финальный счет · Посмотрите статистику, новости и т. д.
Get it on Google Play	Скачать из Google Play
Data shared for research	Данные, предоставленные в рамках исследований
See and delete your preferences about News.	Просматривайте и удаляйте свои новостные предпочтения.
Manage music you’ve identified with the Sound Search widget.	Здесь вы можете управлять композициями, отмеченными с помощью виджета Аудиопоиска.
View YouTube Community posts	Показать записи в Сообществе YouTube
Manage Google Play Sound Search History	Управлять историей Аудиопоиска Google Play
Google Play Sound Search History	История Аудиопоиска Google Play
Comments on YouTube Community posts	Комментарии к записям в Сообществе YouTube
Comments on YouTube videos	Комментарии к видео на YouTube
See and delete your answers to survey questions from Google.	Вы можете посмотреть и удалить свои ответы на опросы Google.
Teams and leagues you follow	Команды и лиги, на которые вы подписаны
A performance comparison of financial entities, composed of table and chart.	Сравнение эффективности финансовых инструментов, состоящее из таблицы и диаграммы.
A table showing the prices at the selected time point in the chart.	Таблица, на которой показаны цены в момент времени, выбранный на диаграмме.
Your answers will improve Search for other people. Learn more.	Ваши ответы сделают Поиск лучше для всех. Подробнее…
You suggested this change. Edit?	Это ваше предложение. Изменить?
Improve the language on this page	Улучшить перевод этой страницы
Manage your Google Tag Manager container versions	Управление версиями контейнеров Google Менеджера тегов
View monetary and non-monetary YouTube Analytics reports for your YouTube content	Просмотр финансовых и прочих отчетов Google Аналитики по контенту YouTube
View YouTube Analytics reports for your YouTube content	Просмотр отчетов Google Аналитики для контента YouTube
View your Google Tag Manager container and its subcomponents	Просмотр контейнера Google Менеджера тегов и его компонентов
Manage user permissions of your Google Tag Manager account and container	Управление разрешениями для пользователей аккаунтов и контейнеров Google Менеджера тегов
Publish your Google Tag Manager container versions	Публикация версий контейнеров Google Менеджера тегов
View and manage creatives and campaigns for DoubleClick Studio	Просмотр объявлений и кампаний Креативной студии, а также управление ими
Delete your Google Tag Manager containers	Удаление контейнеров Google Менеджера тегов
View creatives and campaigns for DoubleClick Studio	Просмотр объявлений и кампаний Креативной студии
View and manage your Google Tag Manager accounts	Просмотр аккаунтов Google Менеджера тегов и управление ими
Tap a match to see scores, stats, and more	Выберите матч для просмотра счета, статистики и т. д.
Type a name, phone, or email	Введите имя, телефон или адрес электронной почты
This site may be hacked.	Возможно, этот сайт был взломан.
Update your featured image on Search	Обновите изображение в Поиске
Saved items will be added to this collection	В этой коллекции появятся объекты, которые вы сохраните.
Open in Google Podcasts	Открыть в Google Podcasts
Your Site on Google	Ваш сайт в Google
Your activity, while you were signed in to Google.	Ваши действия после входа в аккаунт Google.
Add a Finance shortcut to your Home screen	Добавьте ярлык "Финансы" на главный экран
How your saved activity is used	Как мы используем данные о ваших действиях
To let Google save this information:	Чтобы разрешить Google сохранять эту информацию:
Your Chrome browsing history	историю просмотра веб-страниц в Chrome.
Information on your device like recent apps or contact names you searched for	недавние приложения и контакты.
See or delete your search activity	Как посмотреть или очистить Историю приложений и веб-поиска
*Not all languages are supported.	* Поддерживаются не все языки.
Therefore, these pages are no longer accessible from Google search.	поэтому мы исключили их из поисковой выдачи Google.
Watch the most memorable moments of the tournament	Подборка самых ярких моментов матчей
Add a missing place to Google Maps.	Добавить новое место на Google Карты
Lifetime on most items	Возврат в любое время для большинства товаров
Tin Tan’s 103rd Birthday	103 года со дня рождения Хермана Вальдеса
Professor Dorothy Hill’s 111th Birthday	111 лет со дня рождения Дороти Хилл
Josefa Llanes Escoda’s 120th Birthday	120 лет со дня рождения Джозефы Лланс Эскода
Junko Tabei’s 79th Birthday	79 лет со дня рождения Дзюнко Табэи
Joanna Baillie’s 256th Birthday	256 лет со дня рождения Джоанны Бейли
Fatima Surayya Bajia’s 88th Birthday	88 лет со дня рождения Фатимы Сурайя Байя
your One Drive account	в ваш аккаунт OneDrive
Caio Fernando Abreu’s 70th Birthday	70 лет со дня рождения Кайо Фернандо Абреу
Initiated a bulk download from Drive	Начато массовое скачивание данных с Google Диска
We are sorry, the service is currently unavailable. Please verify your internet connection and try again.	Сейчас сервис недоступен. Проверьте подключение к Интернету и повторите попытку.
Sent to Google Home	Отправлено на устройство Google Home
Send to Google Home	Отправить на устройство Google Home
Compare to another index	Сравнить с другим индексом
Compare to another stock	Сравнить с другими акциями
Next to each stock you want to follow, tap or click the box.	Отметьте все акции, информацию о которых вы хотите получать.
Voice search results come in the same language as your voice search.	Результаты голосового поиска будут показаны на языке запроса.
Pick the language for your search results.	Выберите язык для результатов поиска.
At the top left, tap your photo.	В левом верхнем углу экрана нажмите на фото профиля.
Tap a category to see options and make changes.	просматривать и изменять настройки категории, нажав на нее.
At the top left, tap your photo.	В левом верхнем углу экрана нажмите на фото профиля.
You can turn these video previews on or off, and change when they play.	Вы можете указать, когда именно будут воспроизводиться видеофайлы, а также отключить эту функцию.
Videos in your feed could start playing automatically without sound.	Видеоролики в приложении могут автоматически запускаться без звука.
Videos could start playing automatically without sound.	Видеоролики в приложении могут автоматически запускаться без звука.
Press the Home button.	Нажмите кнопку главного экрана.
Replace all existing events	Заменить все мероприятия импортированными
Import from Google Sheets	Импорт из Google Таблиц
This image may be subject to copyright.	Это изображение может быть защищено авторскими правами.
Sergey Prokudin-Gorsky’s 155th Birthday	155 лет со дня рождения Сергея Прокудина-Горского
Viola Desmond’s 104th Birthday	104 года со дня рождения Виолы Десмонд
Mehdi Hassan’s 91st Birthday	91 год со дня рождения Мехди Хасана
Leonard Bernstein’s 100th Birthday	100 лет со дня рождения Леонарда Бернстайна
José Emilio Pacheco’s 79th Birthday	79 лет со дня рождения Хосе Эмилио Пачеко
Prasanta Chandra Mahalanobis’ 125th Birthday	125 лет со дня рождения Прасанты Чандры Махаланобиса
Meena Kumari’s 85th Birthday	85 лет со дня рождения Мины Кумари
Prayoon Yommium’s 85th Birthday	85 лет со дня рождения Праюн Йоммиум
Pumpuang Duangjan’s 57th Birthday	57 лет со дня рождения Пумпуан Дуандзан
Dilip Sardesai’s 78th Birthday	78 лет со дня рождения Дилипа Сардесая
Gerda Taro’s 108th Birthday	108 лет со дня рождения Герды Таро
Gauhar Jaan’s 145th Birthday	145 лет со дня рождения Гаухар Джаан
Reload as optimized page	Перейти на оптимизированную страницу
Carmen Conde’s 111th Birthday	111 лет со дня рождения Кармен Конде
Sort by personal match	Сортировать по персональному соответствию
Hourly, humidity, wind and more	Почасовой прогноз, влажность, ветер и не только
See stocks you’re following	Как узнать, на какие курсы акций вы подписаны
Tap an upcoming reminder.	Выберите напоминание, которое нужно удалить.
Note that these changes may not appear on all Google Searches.	Обратите внимание, что изменения могут применяться не ко всем поисковым запросам.
The end date must be after the start date.	Дата окончания должна быть позже даты начала.
Replace all existing events?	Заменить все мероприятия на импортированные?
The title must have at least one letter or numeric character.	Название должно содержать хотя бы одну букву или цифру.
Paste the link to your Google spreadsheet here and your events will be imported.	Чтобы импортировать мероприятия, вставьте сюда ссылку на таблицу Google.
This event will be permanently deleted and cannot be recovered.	Мероприятие будет удалено без возможности восстановления.
is missing one or more required field	отсутствует одно или несколько обязательных полей
has an invalid start time or date	недопустимое время или дата начала
has an invalid end time or date	недопустимое время или дата окончания
This search is trending in your area.	Этот запрос популярен в вашем регионе.
Start repeating Morse symbol after	Повторный ввод символа из азбуки Морзе через
Talal Maddah’s 78th Birthday	78 лет со дня рождения Талала Мадда
Sergey Prokudin-Gorsky’s 155th birthday	155 лет со дня рождения Сергея Прокудина-Горского
Prayoon Yommium’s 85th birthday	85 лет со дня рождения Праюн Йоммиум
Pumpuang Duangjan’s 57th birthday	57 лет со дня рождения Пумпуан Дуанджан
Marga Faulstich’s 103rd Birthday	103 года со дня рождения Марги Фаульштих
Meena Kumari’s 85th birthday	85 лет со дня рождения Мины Кумари
Leonard Bernstein’s 100th birthday	100 лет со дня рождения Леонарда Бернстайна
Gerda Taro’s 108th birthday	108 лет со дня рождения Герды Таро
Dilip Sardesai’s 78th birthday	78 лет со дня рождения Дилипа Сардесая
Celebrating Johann Sebastian Bach	День Иоганна Себастьяна Баха
Carmen Conde’s 111th birthday	111 лет со дня рождения Кармен Конде
85th Anniversary of Biskupin settlement discovery	85 лет со дня открытия Бискупина
197th Anniversary of Zugspitze first ascent	197 лет со дня первого восхождения на Цугшпитце
People who liked this also like	Люди, которым понравился этот фильм, также рекомендуют
Customize cards in your feed	Как настроить подсказки в ленте
From the top left, tap your profile picture.	В левом верхнем углу нажмите на фото профиля.
Choose the day or date range.	Выберите день или диапазон дат.
You may be asked to sign in to your Google Account.	При необходимости войдите в аккаунт Google.
What info is saved in your feed activity	Что сохраняется в истории действий
Which cards you view, swipe away, or hide	данные о просмотренных и скрытых подсказках;
The cards and results that appeared in your feed	данные о подсказках и результатах поиска в ленте;
The device you use to access your feed	данные об устройстве, на котором вы просматриваете ленту.
You can get more helpful cards and search results from your feed activity.	Благодаря истории действий вы можете получать более актуальные подсказки и результаты поиска.
Would you like to leave feedback about your call?	Хотите оставить отзыв о звонке в компанию?
Featured snippet from the web	Выделенное описание из Интернета
Video featured snippet from the web	Выделенное видео из Интернета
Unable to hide this card. Please try again later.	Не удалось скрыть карточку. Повторите попытку позже.
Try an optimized page.	Перейдите на оптимизированную страницу.
Try again in a few minutes.	Повторите попытку через несколько минут.
No theaters near the selected location.	Рядом с выбранной областью нет кинотеатров.
Create or delete a reminder	Создание и удаление напоминаний
sergej milinkovic-savic news	сергей милинкович-савич новости
hannes thór halldórsson news	ханнес тоур халльдоурссон новости
Changes in network conditions	нестабильное подключение к сети;
Results can vary for many reasons, like:	На это может быть несколько причин:
The best internet connections have high download and upload speeds but low latency.	Хорошее интернет-подключение предполагает высокую скорость скачивания и загрузки, но низкую задержку.
Why your test results could vary	Почему результаты могут меняться
There are a few ways you can create a reminder in the Google app:	Напоминание в приложении Google можно создать следующими способами:
Provide the following to publish this event	Чтобы опубликовать мероприятие, укажите всю необходимую информацию
Say "Ok Google" to start a voice search.	Чтобы запустить голосовой поиск, скажите "Окей, Google".
Search without lifting a finger. When you say "Ok Google," Chrome will search for what you say next.	Голосовой поиск – это очень удобно! Чтобы найти нужную информацию, скажите "Окей, Google" и произнесите запрос.
Listening for "Ok Google"	Скажите "Окей, Google", чтобы начать поиск
Improve voice search by sending the sound of "Ok Google," and a few seconds before, to Google.	Отправлять в Google запись команды "Окей, Google" и нескольких секунд до нее
To get started, set up "Ok Google" on your device.	Сначала настройте голосовую команду "Окей, Google" на мобильном устройстве.
To change these times:	Чтобы изменить эти параметры, выполните следующие действия:
You can pause, move forward or back, change speed, and shorten silences.	для управления воспроизведением и пропуска пауз, нажмите на выпуск.
By default, Google Podcasts removes downloaded episodes:	По умолчанию скачанные выпуски удаляются из Google Podcasts:
Change when downloads are removed	Как изменить время, по истечении которого удаляются выпуски
Find an episode of a subscribed podcast	Как найти выпуск подкаста, на который вы подписаны
Play an episode of a podcast	Как воспроизвести выпуск подкаста
On your Android phone or tablet, you can:	На телефоне или планшете Android вы можете:
You can see your subscriptions at the top of Google Podcasts.	Ваши подписки находятся в верхней части экрана Google Podcasts.
Listen to podcasts on Google Home	Как слушать подкасты на устройстве Google Home
Cast podcasts to Chromecast Audio	Как транслировать подкасты через Chromecast Аудио
Listen to podcasts with Google Podcasts	Как слушать подкасты с помощью Google Podcasts
Turn off ads from this advertiser	Отключить объявления этого рекламодателя
Add your favorite stocks for quick access and to stay in know with the latest financial news.	Добавляйте интересующие вас акции и будьте в курсе последних финансовых новостей.
Recommendation , featured, storage, shows, episodes, playback speed, offline listening, trim silence	Рекомендации, популярное, облачное хранилище, подкасты, выпуски, скорость воспроизведения, прослушивание офлайн, пропуск пауз
Subscribe to podcasts and get the latest episodes	Подписывайтесь на подкасты и узнавайте о новых выпусках.
You can listen and download any podcast you’ve heard of anywhere, anytime for free.	Бесплатно слушайте и скачивайте подкасты в любое время.
Trim silence to cut silences from episodes so you finish them faster, saving hours	Автоматически удаляйте паузы из выпусков, чтобы экономить время.
Listen to podcasts at your preferred playback speed with the variable speed feature.	Настраивайте скорость воспроизведения подкастов.
Safely manage your podcast subscriptions with cloud storage.	Управляйте своими подписками на подкасты в облачном хранилище.
Listen on all your devices	Синхронизация со всеми устройствами
Listen to the same podcast on multiple devices without losing your place.	Слушайте с того места, на котором остановились.
Pause on your phone and pick up where you left off on your Google Home.	Вы можете приостановить воспроизведение на телефоне, а продолжить, например, на устройстве Google Home.
Receive the latest episodes of your favorite podcasts directly on your phone.	Узнавайте о новых выпусках любимых подкастов прямо с телефона.
Google Podcasts is a new way for Android users to discover and listen to any podcast.	Google Podcasts – это новое приложение для Android, с помощью которого можно бесплатно слушать и скачивать подкасты,
Listen to podcasts at faster playback speeds or skip over silences.	Настраивайте скорость воспроизведения и пользуйтесь функцией пропуска пауз.
Find the latest episodes of your favorite podcasts directly on your phone.	Ищите новые выпуски любимых подкастов прямо на телефоне.
Google Podcasts is a new way for Android users to discover and listen to the world’s podcasts.	Google Podcasts – это новое приложение для Android, которое позволяет бесплатно слушать подкасты,
You can subscribe to any show for free and download episodes for offline listening.	подписываться на них и скачивать выпуски для прослушивания в офлайн-режиме.
Anyone with this link can see your collection	Она будет доступна всем, кому вы отправите ссылку.
Turn offline search on or off	Как включить или отключить офлайн-поиск
See or remove searches	Как посмотреть или удалить поисковые запросы
You've helped others make better decisions about places to go	Вы помогаете другим пользователям решить, какие места им посетить
You've helped others make better decisions about places to go.	Вы помогаете другим пользователям выбрать, куда лучше сходить.
Failed to move selected items. Try again later.	Не удалось переместить элементы. Попробуйте ещё раз.
Hide name and show number to others	Показать вместо имени номер телефона
Failed to remove collection. Try again later.	Не удалось удалить коллекцию. Попробуйте ещё раз.
No targets to send to for this input.	Не найдено ни одного получателя.
All items in this collection will be removed.  Are you sure you want to remove this collection?	Вы уверены? Будет удален весь контент в этой коллекции.
Type any email address	Введите адрес электронной почты
Failed to create collection. Try again later.	Не удалось создать коллекцию. Попробуйте ещё раз.
Type a name or email	Введите имя или адрес электронной почты
Only editable in Maps	Изменить элемент можно только в Google Картах
Edit collection in Maps	Изменить коллекцию в Google Картах
Failed to rename collection. Try again later.	Не удалось переименовать коллекцию. Попробуйте ещё раз.
Failed to delete selected items. Try again later.	Не удалось удалить элементы. Попробуйте ещё раз.
To make sharing easier, Google suggests people to share with based on your interactions	Google предлагает пользователей, с которыми можно поделиться контентом, на основе данных о вашем круге общения.
Access sports in one tap	Новости спорта всегда под рукой
Get back here in one tap	Эту страницу можно открывать в одно касание
Add a shortcut to sports	Добавьте ярлык для спортивных новостей
Is there flood damage around you?	Рядом с вами есть последствия наводнения?
Do you see earthquake damage around you?	Рядом с вами есть последствия землетрясения?
See results in English	Показать результаты на русском языке
You looked this up	Вы искали эти определения
Tap on the tags below to vote	Чтобы проголосовать за теги, нажмите на них.
How would you describe this movie?	Как бы вы описали этот фильм?
Add your vote to help others	Проголосуйте за подходящие фильму теги
Unavailable for this word	Недоступно для этого слова.
Easy checkout with Google	Удобная оплата с помощью Google
Tell me what you think of this one	Как вам такой анекдот?
Hey, I know some riddles 😀	Могу предложить такую загадку 😀
Hey, I know some jokes 😀	Я знаю несколько анекдотов 😀
Your ad was disapproved	Ваше объявление было отклонено
Thank you! Your response was recorded.	Спасибо! Ваш ответ записан.
A new version is available	Доступна новая версия приложения.
Prasanta Chandra Mahalanobis’ 125th birthday	125 лет со дня рождения Прасанты Чандры Махаланобиса
Dame Cicely Saunders’ 100th Birthday	100 лет со дня рождения Сисели Сондерс
What do you think about this album?	Что вы думаете об этом альбоме?
What do you think about this book?	Что вы думаете об этой книге?
Your feedback helps others decide which albums to listen to.	Ваш отзыв поможет другим людям выбрать, какой альбом послушать.
Your feedback helps others decide which video games to play.	Ваш отзыв поможет другим людям выбрать, в какую игру поиграть.
Your feedback helps others decide which books to read.	Ваш отзыв поможет другим людям выбрать, какую книгу почитать.
What do you think about this video game?	Что вы думаете об этой видеоигре?
world cup top teams	лучшие команды чемпионата мира по футболу
world cup next match	следующий матч чемпионата мира по футболу
Dates are not final and may change	Даты не являются окончательными и могут меняться.
Tap a match to see stats, news, and more	Выберите матч для просмотра статистики, новостей и т. д.
Easily keep track of your episodes	Легко находите новые и прослушанные выпуски
Bringing the best of Google to podcasts	Новые возможности от Google для любителей подкастов
You liked this album	Вам понравился этот альбом
You liked this book	Вам понравилась эта книга
You liked this movie	Вам понравился этот фильм
You liked this video game	Вам понравилась эта видеоигра
mohammad al-sahlawi news	мохаммад аль-сахлави новости
heung-min son news	сон хын мин новости
kevin de bruyne news	кевин де брёйне новости
Suggestions based on your search and browsing history	Предложения на основе вашей истории поиска и просмотров
Scores are live. Tap to see the match timeline and news.	Счет обновляется автоматически. Чтобы посмотреть хронологию встречи и новости, нажмите на ярлык.
Scores are live. Tap to see the game timeline and news.	Счет обновляется автоматически. Чтобы посмотреть хронологию игры и новости, нажмите на ярлык.
New content loaded successfully. Scroll down to read more.	Загрузка завершена. Чтобы посмотреть новый контент, прокрутите страницу вниз.
Unable to load more	Не удалось загрузить остальные данные
In your post, mention that you already followed the troubleshooting steps in this article.	Не забудьте упомянуть, что вы уже выполнили все инструкции, приведенные в этой статье.
Posted by Martin Splitt, Webmaster Trends Analyst	Автор: Мартин Сплитт, аналитик Google
We also repeated a few key points that web developers should have an eye on when building websites, such as:	Мы обсудили несколько ключевых принципов, о которых нельзя забывать при разработке сайтов.
to help webmasters understand what prospective users search for.	, чтобы веб-мастера могли понять, что именно ищут потенциальные пользователи.
wrapped up, it’s a great time to reflect on some of the highlights.	и посмотрим, что мы узнали на ней.
Do you manage this online presence?	Вы – официальный представитель в Интернете?
Get reminders and live score notifications for all matches	Получайте напоминания обо всех матчах и уведомления о текущем счете.
Send a message to this business.	Отправить сообщение этой компании.
Dr. Virginia Apgar’s 109th Birthday	109 лет со дня рождения Вирджинии Апгар
Make Google my default search engine	Как сделать Google поисковой системой по умолчанию
This hotel has exclusive prices for Google One members	Здесь есть номера со скидкой для участников Google One.
You’ll be notified with results	Мы оповестим вас о результатах поиска
Check your connection and try again	Проверьте подключение к Интернету и повторите попытку.
Google won’t retry this search when you’re back online	Google не будет пытаться автоматически повторять этот запрос, когда вы окажетесь в Сети.
Google will retry your search once you’re online again	Google повторит запрос, как только вы снова окажетесь в Сети.
To run your ad, review and edit your text.	Чтобы начать показ объявления, исправьте текст.
To run your ad, make a payment.	Чтобы начать показ объявления, пополните счет.
To run your ad, update your billing.	Чтобы начать показ, укажите актуальные платежные данные.
You can also choose whether you want to open links to maps in Google Maps.	Также вы можете указать, нужно ли открывать ссылки на карты в Google Картах.
This won’t clear searches you’ve done on other devices or computers.	Информация о поиске на других устройствах и компьютерах при этом сохраняется.
What other apps you have on your device	список других приложений, установленных на устройстве;
For example, you can search for information about your upcoming flights or restaurant reservations.	Например, эта функция позволяет вам находить информацию о предстоящих полетах и заказах мест в ресторанах.
Pink the language for your search results.	Выберите язык для результатов поиска.
Change the settings that control voice search and voice actions.	В этом разделе можно настроить параметры голосового поиска и управления.
Number of rows per page	Количество строк на страницу
Have you ever consented to the distribution of the fake images or videos?	Давали ли вы согласие на публикацию этих фотографий или видео?
Yes, but not on this site.	Да, но не на этом сайте
Please enter a valid email address	Укажите действительный адрес электронной почты.
In the top right corner of the page, click the gear icon.	В правом верхнем углу страницы нажмите на значок шестеренки.
Get reminders and live score notifications for all games	Получайте напоминания обо всех играх и уведомления о текущем счете
Satisfied with these results?	Довольны ли вы результатами?
Ministry of Islamic Affairs, Morocco	Министерство по исламским делам, Марокко
Click for more results	Нажмите, чтобы увидеть больше результатов
Customized stickers based on you	Стикеры, созданные на основе вашего фото
Weather update for a place	Просмотрена информация о погоде для данного местоположения
Viewed a notification about a promotion	Просмотрено уведомление о промоакции
Received a notification about a promotion	Получено уведомление о промоакции
Received a notification about a declined payment	Получено уведомление об отклоненном платеже
Received a notification about a backup payment method	Получено уведомление о резервном способе оплаты
Voted on a poll in	Вы участвовали в опросе в видео
Viewed a notification about a declined payment	Просмотрено уведомление об отклоненном платеже
Viewed a notification about a backup payment method	Просмотрено уведомление о резервном способе оплаты
How Google Shopping works	Как работают Google Покупки
Received a notification about an expiring movie or show	Получено уведомление об истечении срока проката фильма или сериала
Save tags and close dialog	Сохранить теги и закрыть диалоговое окно
Check your feed for the latest on topics you follow	Вы найдете последние новости по темам, на которые подписались, в своей ленте
Info Google stores about my searches	Какие данные поисковых запросов сохраняются
