iNg31,Hin31
chef,mɦαrαz
chew,chbα
chin,thodi
chip,cip
chop,kαt
cite,cite
city,shɦr
clay,mitti
clip,klip
club,klb
clue,sńkeт
coal,koylα
coat,coat
code,code
coin,sikkα
cold,thndα
come,aα
cook,pkα
cool,thndα
cope,cope
copy,kopi
cord,nαl
core,mukhy
corn,bhuttα
cost,lαgт
coup,тkhтαplt
crew,crew
crop,crop
cure,ilαz
cute,pyαrα
damn,damn
dare,dare
dark,dαrk
data,datα
date,тαrikh
dawn,bhor
dead,mriт
deal,soԃα
dear,priy
debt,rrinn
deck,deck
deem,smzh
deep,gɦrα
deer,ɦirn
deny,deny
desk,mez
diet,aαɦαr
dirt,gnԃh
disc,disk
dish,wynzn
disk,disk
dock,goԃi
doll,gudiyα
door,ԃrwαzα
dose,khurαk
down,niche
drag,khiich
draw,nikαl
drop,bunԃ
drug,ԃwαi
drum,drum
duck,bтakh
dumb,guńgα
dump,dump
dust,ԃhul
duty,krтwy
each,prтek
earn,kmα
ease,ααsαni
east,purw
easy,ααsαn
echo,gunz
edge,kinαrα
edit,edit
else,anya
even,even
ever,kbhi
evil,burα
exam,priksα
exit,exit
face,ćeɦrα
fact,ттhy
fade,fikα
fail,asfl
fair,gorα
fall,girnα
fame,ysh
fare,kirαyα
farm,kheт
fast,тez
fate,bhαgy
fear,dr
feed,khilαnα
feel,feel
file,fαil
fill,bhrnα
film,film
find,khozo
fine,aćchα
fire,ααg
firm,atl
fish,mchli
fist,mutthi
five,pαć
flag,zhndα
flat,smтl
flee,flee
flip,pltnα
flow,prwαɦ
fold,fold
folk,lok
food,khαnα
fool,murkh
foot,peir
fork,kαntα
form,rup
four,ćαr
free,mukт
from,se
fuel,inԃhn
full,full
fund,niԃhi
gain,pαnα
game,khel
gang,giroɦ
gate,ԃrwαzα
gaze,tktki
gear,giyr
gene,zin
gift,upɦαr
girl,ldki
give,ԃenα
glad,khush
goal,lksy
goat,bkri
gold,sonα
golf,golf
good,aćchα
grab,zhptnα
gray,sleti
grin,muskαn
grip,pkd
grow,bdhnα
hair,bαl
half,ααԃhα
hall,hall
hand,ɦαтh
hang,ltkαnα
hard,mushkil
harm,ćot
hate,ghrinα
haul,dhonα
have,have
head,sir
heal,heal
hear,suno
heat,grmi
heel,edi
hell,nrk
help,mԃԃ
herb,herb
here,yɦα
hero,nαyk
hers,uski
hide,chipαnα
high,ućć
hike,bdhoтri
hill,pɦαdi
hint,hint
hire,hire
hold,pkdnα
hole,cheԃ
holy,pwiтr
home,ghr
hook,ańkush
hope,ααshα
horn,sińg
host,mezbαn
hour,ghntα
huge,wishαl
hunt,hunt
hurt,ααɦт
icon,ααikn
idea,wićαr
into,me
iron,loɦα
item,wsтu
jail,zel
jazz,zαz
join,zodnα
joke,ćutkulα
jump,kuԃnα
jury,zuri
just,abhi
keep,rkhnα
kick,kick
kill,mαrnα
kind,ԃyαlu
king,rαzα
kiss,ćumbn
knee,ghutnα
know,zαnnα
lack,kmi
lady,mɦilα
lake,zhil
lamp,ćirαg
land,bhumi
lane,len
last,anтim
late,ԃer
lawn,lawn
lead,lead
leaf,pттα
lean,ԃublα
leap,chlαńg
left,bαe
lend,lend
lens,lens
less,km
life,zinԃgi
lift,uthαnα
like,psnԃ
limb,ańg
line,rekhα
link,zodnα
lion,sher
list,sući
live,rɦnα
load,bhαr
loan,ririn
lock,тαlα
long,lmbα
look,ԃekhnα
loop,kundli
lose,khonα
loss,nuksαn
lost,lost
lots,bɦuт
loud,loud
love,pyαr
luck,bhαgy
lung,fefdα
mail,mel
main,mukhy
make,bnαnα
male,purus
mall,mol
many,anek
mark,nishαn
mask,nkαb
mass,ԃrwymαn
mate,sαтhi
math,gniт
meal,khαnα
mean,arтh
meat,mαns
meet,milo
melt,pighlnα
menu,menu
mere,mαтr
mess,gdbd
mild,ɦlkα
milk,ԃuԃh
mill,ćkki
mind,ԃimαg
mine,merα
miss,yαԃ
mode,тrikα
mood,mnoԃshα
moon,ćnԃrmα
more,aԃhik
most,aԃhikαnsh
move,kԃm
much,aԃhikтα
must,awshy
myth,miтhk
nail,nαkhun
name,nαm
near,near
neat,sαf
neck,grԃn
need,zrurт
nest,ghonslα
news,smαćαr
next,aglα
nice,aćchα
nine,no
none,none
noon,ԃopɦr
norm,ααԃrsh
nose,nαk
note,tippni
odds,kthinαiyα
okay,okay
once,once
only,kewl
onto,pr
open,khulα
oral,mokhik
ours,ɦmαrα
oven,own
over,upr
pace,gтi
pack,pack
page,pez
pain,ԃrԃ
pair,zodα
pale,fikα
palm,ɦтheli
pant,pnт
park,pαrk
part,bhαg
pass,uттirn
past,aтiт
path,pтh
peak,ćoti
peel,chilnα
peer,smkks
pick,ćunnα
pile,dher
pill,goli
pine,ćid
pink,gulαbi
pipe,pαip
plan,yoznα
play,khel
plea,ԃlil
plot,kтhαnk
plus,pls
poem,kwiтα
poet,kwi
poke,zhαńknα
pole,khmbhα
poll,mтԃαn
pond,тαlαb
pool,pul
poor,grib
pork,pork
port,pттn
pose,pose
post,dαk
pour,bɦnα
pray,pray
pull,khićo
pump,pmp
pure,shuԃԃh
push,ԃhkelnα
quit,chodnα
race,ԃod
rack,reik
rage,kroԃh
rail,rel
rain,bαrish
rank,reińk
rape,blαтkαr
rare,ԃurlbh
rate,ԃr
read,pdhnα
real,asli
rear,pichlα
rely,rely
rent,kirαyα
rest,ααrαm
rice,ćαwl
rich,amir
ride,swαri
ring,ańguthi
riot,ԃńgα
rise,uthnα
risk,zokhim
road,sdk
rock,ćttαn
role,bhumikα
roll,rol
roof,chт
room,kmrα
root,zd
rope,rssi
rose,gulαb
ruin,ruin
rule,niym
rush,rush
sack,тheilα
safe,surksiт
sail,zlyαтrα
sake,kαrn
sale,bikri
salt,nmk
same,wɦi
sand,reт
save,bćαnα
scan,skein
seal,muɦr
seat,sit
seed,biz
seek,тlαsh
seem,seem
self,khuԃ
sell,bećnα
send,bheznα
sexy,kαmuk
shed,osαrα
ship,zɦαz
shit,bkwαs
shoe,zuтα
shop,ԃukαn
shot,shot
show,ԃikhαo
shut,bnԃ
sick,bimαr
side,or
sigh,sαns
sign,sńkeт
silk,reshm
sing,gαo
sink,dubnα
site,sαit
size,ααkαr
skin,тwćα
skip,chodnα
slam,sleim
slap,тhppd
slip,fislnα
slot,cheԃ
slow,ԃhimα
snap,sneip
snow,brf
soak,dubαnα
soap,sαbun
soar,soar
sock,zurrαb
sofa,sofα
soft,koml
soil,mitti
sole,akelα
some,kuch
song,gαnα
soon,soon
sort,sort
soul,ααтmα
soup,shorbα
spin,ghumαnα
spit,тhuknα
spot,sтhαn
star,тαrα
stay,rɦnα
stem,тnα
step,kԃm
stir,ɦilαnα
stop,ruknα
such,esα
suck,ćusnα
suit,suit
sure,zrur
swim,тeirnα
tail,punch
take,lenα
tale,kтhα
talk,talk
tall,lmbα
tank,teińk
tape,fiтα
task,kαm
team,tim
tear,ααnsu
teen,kishor
tell,kɦnα
tend,tend
tent,тmbu
term,awԃhi
test,priksα
text,mulpαth
than,bzαy
that,wɦ
them,unɦe
then,тb
they,we
thin,pтlα
this,yɦ
thus,thus
tide,zwαr-bhαtα
tile,tαil
till,тk
time,smy
tiny,chotα
tire,tire
toll,tol
tone,sur
tool,ozαr
toss,tos
tour,yαтrα
town,shɦr
trap,zαl
tray,tre
tree,ped
trim,trim
trip,yαтrα
tube,nli
tuck,tk
tune,ԃhun
turn,mod
twin,zudwα
type,prkαr
ugly,kurup
unit,ikαi
upon,upr
urge,urge
used,used
user,upyogkrтα
vary,vary
vast,vast
very,bɦuт
view,ԃekhnα
vote,wot
wage,weтn
wait,inтzαr
wake,zαgo
walk,tɦlnα
wall,ԃiwαr
want,ćαɦnα
warm,grm
warn,warn
wash,ԃhonα
wave,lɦr
weak,kmzor
wear,ghisαw
weed,khr-pтwαr
week,spтαɦ
well,kunα
west,pshćim
what,kyα
when,kb
whip,ćαbuk
whom,kisko
wide,ćodα
wife,pтni
wild,zńgli
will,ićchα
wind,ɦwα
wine,shrαb
wing,wińg
wipe,ponchnα
wire,тαr
wise,dhńg
wish,ićchα
with,sαтh
wolf,bhediyα
wood,lkdi
word,shbԃ
work,kαm
wrap,lpetnα
yard,yαrd
yeah,ɦα
year,wrs
yell,ćillαnα
your,ααpkα
zone,sheтr
true,sтy
about,about
above,upr
abuse,abuse
actor,abhineтα
adapt,adapt
added,zodα
admit,admit
adopt,adopt
adult,wysk
after,bαԃ
again,ԃobαrα
agent,prтiniԃhi
agree,sɦmт
ahead,ααge
aisle,gliyαrα
alarm,alarm
album,elbm
alien,wiԃeshi
alike,alike
alive,ziwiт
alley,gli
allow,allow
alone,akelα
along,along
alter,ααltr
among,among
angel,ԃewԃuт
anger,gussα
angle,kon
angry,gussα
ankle,tkhnα
apart,alg
apple,seb
apply,apply
arena,akhαdα
argue,bɦs
arise,uthnα
armed,sshsтr
array,srni
arrow,тir
asian,eshiyαi
aside,alg
asset,smpттi
avoid,tαlnα
await,inтzαr
awake,zαgnα
award,purskαr
aware,zαgruk
awful,bhyńkr
badly,badly
basic,buniyαԃi
basis,ααԃhαr
beach,beach
beard,ԃαdhi
beast,zαnwr
begin,shuru
being,prαni
belly,pet
below,niće
bench,beć
bible,bαibil
birth,znm
black,kαlα
blade,bled
blame,ԃos
blank,khαli
blast,ԃhmαkα
blend,milαnα
bless,ααshirwαԃ
blind,anԃhα
blink,zhpkαnα
block,block
blond,gorα
blood,khun
board,тkhтα
boast,dińg
bonus,bons
boost,bdhαnα
booth,buтh
brain,ԃimαg
brake,brek
brand,brαnd
brave,bɦαԃur
bread,roti
break,тodnα
brick,int
bride,ԃulɦn
brief,sńksipт
bring,lαnα
broad,ćodα
brown,bhurα
brush,brsh
buddy,ԃosт
build,nirmαn
bunch,gućchα
buyer,kreтα
cabin,kebin
cable,kebl
candy,keindi
cargo,mαl
carry,dhonα
carve,uтkirn
catch,pkdnα
cause,kαrn
cease,roknα
chain,znzir
chair,kursi
chaos,awywsтhα
charm,ααkrsn
chart,ćαrt
chase,chase
cheap,ssтα
cheat,ԃhokhα
check,check
cheek,gαl
cheer,cheer
chest,chαтi
chief,aԃhyks
child,bććα
chill,srԃ
chunk,tukdα
civic,nαgrik
civil,nαgrik
claim,ԃαwα
class,kksα
clean,sαf
clear,spst
clerk,lipik
click,klik
cliff,tilα
climb,ćdhnα
cling,ćipki
clock,ghdi
close,close
cloth,kpdα
cloud,bαԃl
coach,prshiksk
coast,тt
color,rńg
couch,sofα
could,sknα
count,count
court,aԃαlт
cover,dhknα
crack,ԃrαr
craft,shilp
crash,crash
crawl,crawl
crazy,pαgl
cream,krim
crime,aprαԃh
cross,cross
crowd,bhid
cruel,nirԃyi
crush,kućlnα
cuban,kyubα
curve,wkr
cycle,ćkr
daily,ԃeinik
dance,nriтy
death,moт
debut,pԃαrpn
delay,ԃeri
dense,ghnα
depth,gɦrαi
devil,sheiтαn
diary,dαyri
dirty,gnԃα
donor,ԃαтα
doubt,snԃeɦ
dough,dough
dozen,ԃrzn
draft,msoԃα
drain,nαli
drama,nαtk
dream,spnα
dress,poshαk
dried,dried
drift,abhiprαy
drill,drill
drink,pinα
drive,drive
drown,dubnα
drunk,drunk
dutch,dć
dying,mrnα
eager,ααтur
early,zlԃi
earth,ԃhrтi
eight,ααth
elbow,koɦni
elder,zyesth
elect,elect
elite,elite
empty,khαli
enact,enact
enemy,ԃushmn
enjoy,enjoy
enter,enter
entry,prwesh
equal,brαbr
equip,leis
error,glтi
essay,nibnԃh
event,ααyozn
every,prтyek
exact,exact
exist,asтiтw
extra,aтirikт
faint,faint
faith,ααsтhα
fatal,ghαтk
fault,glтi
favor,kripαԃristi
fence,bαd
fever,bukhαr
fewer,fewer
fiber,fαibr
field,meiԃαn
fifth,pαćwα
fifty,pćαs
fight,fight
final,anтim
first,pɦlα
fixed,тy
flame,zyoтi
flash,ćmk
fleet,bedα
flesh,mαns
float,тeirnα
flood,bαdh
floor,zmin
flour,ααtα
fluid,fluid
focus,kenԃr
force,bl
forth,ααge
forty,ćαlis
forum,mć
found,milα
frame,ćokhtα
fraud,ԃhokhα
fresh,тαzα
front,sαmne
frown,bhrubhńg
fruit,fl
fully,fully
funny,mzeԃαr
genre,sheili
ghost,bhuт
giant,giant
given,given
glass,kαć
globe,glob
glory,weibhw
glove,ԃsтαnα
grace,anugrɦ
grade,shreni
grain,anαz
grand,greind
grant,anuԃαn
grape,ańgur
grasp,pkd
grass,ghαs
grave,kbr
great,mɦαn
greek,grik
green,ɦrα
greet,greet
grief,grief
gross,kul
group,smuɦ
guard,rksk
guess,anumαn
guest,aтiтhi
guide,mαrgԃrshk
guilt,aprαԃh
habit,ααԃт
happy,khush
harsh,kthor
heart,ԃil
heavy,bhαri
hello,nmsтe
hence,hence
honey,shɦԃ
honor,smmαn
horse,ghodα
hotel,ɦotl
house,ghr
human,insαn
humor,ɦαsy
hurry,zlԃi
ideal,ααԃrsh
image,chwi
imply,imply
index,anukrmnikα
inner,ααnтrik
input,input
iraqi,irαk
irish,ααyrish
irony,widmbnα
islam,islαm
issue,muԃԃα
jeans,zins
joint,snyukт
judge,nyαyαԃhish
juice,rs
juror,juror
kneel,kneel
knife,ćαku
knock,ԃsтk
known,gyαт
label,lebl
labor,shrm
large,bdα
laser,lezr
later,later
latin,leitin
laugh,ɦnsnα
layer,prт
learn,sikhnα
least,least
leave,chutti
legal,kαnuni
lemon,nimbu
level,sтr
light,roshni
limit,limit
liver,zigr
lobby,lobi
local,sтhαniy
logic,тrk
loose,dhilα
lover,lover
lower,nićlα
loyal,wfαԃαr
lucky,bhαgyshαli
lunch,lunch
magic,zαԃu
major,prmukh
maker,nirmαтα
march,mαrć
marry,marry
match,milαn
maybe,shαyԃ
mayor,meyr
medal,pԃk
media,midiyα
merit,yogyтα
metal,ԃhαтu
meter,mitr
midst,midst
might,might
minor,nαbαlig
mixed,mishriт
model,nmunα
money,ԃhn
month,mɦinα
moral,neiтik
motor,motr
mount,prwт
mouse,ćuɦα
mouth,munɦ
movie,ćlćiтr
music,sńgiт
naked,nńgα
nasty,nasty
nerve,тnтrikα
never,never
newly,newly
night,rαт
noise,shor
north,uттr
novel,upnyαs
nurse,nurse
occur,occur
ocean,mɦαsαgr
offer,prsтαw
often,aksr
onion,pyαz
opera,operα
orbit,kksα
order,ααԃesh
organ,ańg
other,any
ought,ćαɦie
outer,ααutr
owner,mαlik
paint,rńgnα
panel,peinl
panic,ghbdαɦt
paper,kαgz
party,ԃl
pasta,pαsтα
patch,peibnԃ
pause,wirαm
peace,shαnтi
phase,ćrn
phone,fon
photo,тswir
piano,piyαno
piece,tukdα
pilot,pαylt
pitch,pitch
pizza,pizzα
place,zgɦ
plain,meiԃαn
plane,wimαn
plant,poԃhα
plate,тhαli
plead,niweԃn
point,binԃu
porch,brαmԃα
pound,pαund
power,shkтi
press,pres
price,kimт
pride,grw
prime,mukhy
print,chpαi
prior,purw
prize,purskαr
proof,sbuт
proud,grw
prove,prove
pulse,nαdi
punch,mukkα
purse,btuα
queen,rαni
quest,khoz
quick,zlԃi
quiet,shαnт
quite,aтynт
quote,uԃԃhrn
radar,rαdαr
radio,rediyo
raise,uthαnα
rally,reili
ranch,kheт
range,shreni
rapid,тez
ratio,anupαт
reach,pɦućnα
react,prтikriyα
ready,тeiyαr
realm,sheтr
rebel,bαgi
refer,refer
relax,relax
reply,zwαb
rider,swαr
ridge,ćoti
rifle,rαifl
right,sɦi
risky,risky
rival,prтiԃwnԃwi
river,nԃi
robot,robot
roman,romn
rough,rough
round,gol
route,mαrg
royal,shαɦi
rumor,afwαɦ
rural,grαmin
salad,slαԃ
sales,bikri
sauce,sos
scale,peimαnα
scare,drαnα
scary,drαwnα
scene,ԃrishy
scent,mɦk
scope,ԃαyrα
score,ańk
screw,peć
seize,zbт
sense,smzh
serve,serve
seven,sαт
shade,chαyα
shake,ɦilαnα
shall,kregα
shame,shame
shape,ααkαr
share,share
shark,shαrk
sharp,тikhα
sheep,bhed
sheer,nirα
sheet,ćαԃr
shelf,ԃrαz
shell,shńkh
shift,bԃlαw
shine,ćmk
shirt,kmiz
shock,zhtkα
shoot,shoot
shore,kinαrα
short,chotα
shout,ćillαnα
shove,ԃhkkα
shrug,shrug
sight,ԃrishy
silly,nαsmzh
since,since
sixth,chthα
skill,koshl
skirt,skrt
skull,khopdi
slave,gulαm
sleep,ninԃ
slice,tukdα
slide,fislnα
slope,dhlαn
small,chotα
smart,buԃԃhimαn
smell,gnԃh
smile,muskαn
smoke,ԃhuα
snake,sαmp
sneak,ućkkα
solar,sor
solid,thos
solve,solve
sorry,sorry
sound,ααwαz
south,ԃksin
space,anтriks
spare,aтirikт
spark,ćińgαri
speak,bolnα
speed,rfтαr
spell,bolnα
spend,spend
spill,feil
spine,spine
spite,wiroԃh
split,split
spoon,ćmmć
sport,khel
spray,fuɦαr
squad,ԃsтα
stack,dher
staff,krmćαri
stage,awsтhα
stair,sidhi
stake,ԃαnw
stand,stand
stare,ghurnα
start,shuru
state,rαzy
steak,steak
steal,ćurαnα
steam,bhαp
steel,ispαт
steep,khdi
steer,steer
stick,ćipknα
stiff,akdn
still,still
stock,bhndαr
stone,pттhr
store,store
storm,ααnԃhi
story,kɦαni
stove,ćulɦα
straw,ghαs
strip,ptti
study,aԃhyyn
stuff,sαmgri
style,sheili
sugar,ćini
suite,suit
sunny,sunny
super,super
swear,swear
sweat,psinα
sweep,zhαdu
sweet,mithαi
swell,suznα
swing,zhulα
sword,тlwαr
table,mez
taste,swαԃ
teach,pdhαnα
terms,shrтe
thank,ԃhnywαԃ
their,unkα
theme,wisy
there,wɦα
these,in
thick,motα
thigh,zαńgh
thing,ćiz
think,soćnα
third,тisrα
those,we
three,тin
throw,feńk
thumb,ańguthα
tight,tight
tired,tired
title,shirsk
today,ααz
tooth,ԃαnт
topic,wisy
total,kul
touch,chunα
tough,kthin
towel,тoliyα
tower,tαwr
toxic,wisαkт
trace,trace
track,rαsтα
trade,wyαpαr
trail,pgdndi
train,relgαdi
trait,prwriттi
trash,kćrα
treat,ilαz
trend,ruzhαn
trial,priksn
tribe,znzαтi
trick,ćαl
troop,senα
truck,trk
truly,truly
trunk,тnα
trust,wishwαs
truth,sć
tumor,tyumr
twice,twice
twist,mod
uncle,ćαćα
under,anтrgт
union,miln
unite,unite
unity,ekтα
until,until
upper,apr
upset,preshαn
urban,shɦri
usual,sαԃhαrn
valid,weiԃh
value,kimт
video,widiyo
virus,wαyrs
visit,visit
vital,aтyαwshyk
vocal,swr
voice,ααwαz
voter,mтԃαтα
wagon,gαdi
waist,kmr
waste,waste
watch,ghdi
water,pαni
weave,bunnα
weigh,тolnα
weird,azib
whale,wɦel
wheat,geɦu
wheel,pɦiyα
where,kɦα
which,kon
while,zbki
white,sfeԃ
whole,sαbuт
whose,kiskα
widow,wiԃhwα
woman,mɦilα
works,works
world,ԃuniyα
worry,ćinтα
worth,lαyk
would,ćαɦeńge
wound,ghαw
wrist,klαi
write,likhnα
wrong,glт
yield,upz
young,yuwα
yours,тumɦαrα
youth,yuwα
false,asтy
abroad,wiԃesh
absorb,absorb
accent,lɦzα
accept,accept
access,pɦuć
accuse,ααrop
across,ααr-pαr
action,kαrrwαi
active,skriy
actual,wαsтwik
adjust,adjust
admire,admire
advice,slαɦ
advise,advise
affair,mαmlα
affect,ćαɦnα
afford,wɦn
afraid,drnα
agency,ezensi
agenda,kαrysući
almost,lgbhg
always,ɦmeshα
amount,mαтrα
and/or,or/yα
animal,zαnwr
annual,wαrsik
answer,uттr
anyone,anyone
anyway,anyway
appeal,niweԃn
appear,appear
around,ααs-pαs
arrest,girfтαri
arrive,ααnα
artist,klαkαr
asleep,asleep
aspect,pɦlu
assert,zor
assess,ααkln
assign,sompnα
assist,assist
assume,assume
assure,ααshwαsn
attach,attach
attack,attack
attend,attend
author,lekhk
ballot,mтԃαn
banana,kelα
banker,beińkr
barely,barely
barrel,beirl
basket,tokri
battle,yuԃԃh
beauty,sunԃrтα
become,bnnα
before,pɦle
behalf,behalf
behave,wywɦαr
behind,piche
belief,ααsтhα
belong,smbnԃhiт
beside,beside
better,beɦтr
beyond,ααge
bishop,bishp
bitter,kdwα
bloody,khuni
border,simα
boring,ubαu
borrow,uԃhαr
bother,preshαn
bottle,boтl
bottom,тl
bounce,uchlnα
branch,shαkhα
breast,sтn
breath,sαns
breeze,ɦwα
bridge,pul
bright,ćmkԃαr
broken,broken
broker,ԃlαl
bronze,kαnsy
brutal,krur
bubble,bulbulα
bucket,bαlti
budget,bzt
bullet,goli
burden,bozh
bureau,byuro
butter,mkkhn
button,btn
camera,keimrα
campus,prisr
cancel,cancel
cancer,keinsr
candle,mombттi
canvas,keinwαs
carbon,kαrbn
career,ααziwikα
carpet,kαlin
carrot,gαzr
casino,keisino
casual,anopćαrik
cattle,pshu
center,kenԃr
chance,mokα
change,priwrтn
charge,shulk
cheese,pnir
choice,psnԃ
choose,ćunnα
church,girzαghr
circle,gherα
client,grαɦk
clinic,klinik
closed,closed
closer,krib
closet,almαri
coffee,kofi
collar,collar
colony,kαloni
column,sтmbh
combat,ldαi
comedy,komedi
coming,coming
commit,prтibԃԃh
common,sαmαny
compel,mzbur
comply,comply
convey,bтαnα
cookie,kuki
corner,konα
costly,mɦńgα
cotton,kpαs
county,kαunti
couple,yugl
course,awԃhi
cousin,ććerα
create,bnαe
credit,shrey
crisis,sńkt
critic,smiksk
cruise,cruise
custom,riwαz
damage,ɦαni
dancer,nrтk
danger,khтrα
deadly,ghαтk
dealer,dilr
debate,bɦs
debris,mlbα
decade,ԃshk
decent,shαlin
decide,decide
deeply,gɦrα
defeat,ɦrαnα
defend,defend
define,define
degree,digri
demand,mαńg
denial,inkαr
depart,prsтhαn
depend,depend
depict,ćiтriт
deploy,deploy
deputy,up
derive,derive
desert,regisтαn
design,dizαin
desire,ićchα
detail,wiwrn
detect,detect
device,upkrn
devote,smrpiт
differ,differ
dining,bhozn
dinner,dinner
direct,prтyks
divide,divide
divine,ԃiwy
doctor,ćikiтsk
domain,kαrykseтr
donate,donate
double,ԃoɦrα
drawer,ԃrαz
driver,drαiwr
during,ԃorαn
e-mail,imel
easily,easily
eating,khαnα
editor,smpαԃk
effect,prbhαw
effort,koshish
eighth,ααthwα
either,either
eleven,gyαrɦ
emerge,ubhrnα
empire,sαmrαzy
employ,kαm
enable,sksm
endure,endure
energy,urzα
engage,engage
engine,inzn
enough,pryαpт
enroll,nαmαńkn
ensure,ensure
entire,purα
entity,ikαi
equity,ɦisseԃαri
escape,plαyn
estate,zαgir
ethics,niтi
ethnic,zαтiy
evolve,evolve
exceed,exceed
except,except
excuse,shmα
exotic,wiԃeshi
expand,bdhαnα
expect,expect
expert,wishesgy
export,niryαт
expose,expose
extend,bdhαnα
extent,sheтr
fabric,kpdα
factor,kαrk
fairly,fairly
family,priwαr
